date,match_id,home_team,away_team,team,player_id,player_name,minute,own_goal,penalty
1994-07-03,M-1994-40,Romania,Argentina,Romania,P-30739,Gheorghe Hagi,58,False,False
1994-07-03,M-1994-40,Romania,Argentina,Argentina,P-07031,Abel Balbo,75,False,False
1994-07-04,M-1994-41,Netherlands,Republic of Ireland,Netherlands,P-22409,Dennis Bergkamp,11,False,False
1994-07-04,M-1994-41,Netherlands,Republic of Ireland,Netherlands,P-27957,Wim Jonk,41,False,False
1994-07-04,M-1994-42,Brazil,United States,Brazil,P-68671,not applicable Bebeto,72,False,False
1994-07-05,M-1994-43,Nigeria,Italy,Nigeria,P-22820,Emmanuel Amunike,25,False,False
1994-07-05,M-1994-43,Nigeria,Italy,Italy,P-78756,Roberto Baggio,88,False,False
1994-07-05,M-1994-43,Nigeria,Italy,Italy,P-78756,Roberto Baggio,102,False,True
1994-07-05,M-1994-44,Mexico,Bulgaria,Bulgaria,P-81648,Hristo Stoichkov,6,False,False
1994-07-05,M-1994-44,Mexico,Bulgaria,Mexico,P-21495,Alberto García Aspe,18,False,True
1994-07-09,M-1994-45,Italy,Spain,Italy,P-52474,Dino Baggio,25,False,False
1994-07-09,M-1994-45,Italy,Spain,Spain,P-97666,José Luis Caminero,58,False,False
1994-07-09,M-1994-45,Italy,Spain,Italy,P-78756,Roberto Baggio,88,False,False
1994-07-09,M-1994-46,Netherlands,Brazil,Brazil,P-61251,not applicable Romário,53,False,False
1994-07-09,M-1994-46,Netherlands,Brazil,Brazil,P-68671,not applicable Bebeto,63,False,False
1994-07-09,M-1994-46,Netherlands,Brazil,Netherlands,P-22409,Dennis Bergkamp,64,False,False
1994-07-09,M-1994-46,Netherlands,Brazil,Netherlands,P-42249,Aron Winter,76,False,False
1994-07-09,M-1994-46,Netherlands,Brazil,Brazil,P-90842,not applicable Branco,81,False,False
1994-07-10,M-1994-47,Bulgaria,Germany,Germany,P-49502,Lothar Matthäus,47,False,True
1994-07-10,M-1994-47,Bulgaria,Germany,Bulgaria,P-81648,Hristo Stoichkov,75,False,False
