Rk,Player,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
419,Serhiy Sydorchuk,MF,ua Ukraine,32,1991,0.1,3,0,1,2,1,0,3,0,0,,0,,1,12,11,0,0,0,1,0,3,0,Matches
420,Attila Szalai,DF,hu Hungary,26,1998,1.1,74,5,27,41,6,1,74,1,0,0.0,0,0.0,48,179,98,0,3,0,1,0,46,2,Matches
421,Wojciech Szczęsny,GK,pl Poland,33,1990,2.0,74,64,73,1,0,0,74,0,0,,0,,37,262,190,0,0,0,0,0,38,0,Matches
422,Dominik Szoboszlai,MF,hu Hungary,23,2000,3.0,181,7,30,91,63,6,181,12,3,25.0,9,75.0,106,489,220,6,3,3,4,1,100,10,Matches
423,Sebastian Szymański,MF,pl Poland,24,1999,1.2,56,0,14,26,17,2,56,2,0,0.0,2,100.0,24,153,74,3,2,0,2,2,33,3,Matches
424,Dušan Tadić,MF,rs Serbia,35,1988,1.7,97,2,9,36,52,2,97,2,1,50.0,0,0.0,68,349,141,4,5,1,1,3,74,17,Matches
425,Jonathan Tah,DF,de Germany,27,1996,3.5,308,21,89,201,19,2,308,0,0,,0,,197,848,534,0,4,0,1,0,248,1,Matches
426,Maksym Talovierov,MF,ua Ukraine,23,2000,0.0,2,0,0,2,0,0,2,0,0,,0,,2,3,2,0,0,0,0,0,2,0,Matches
427,Aurélien Tchouaméni,MF,fr France,24,2000,5.2,423,12,69,293,63,5,423,0,0,,0,,335,1709,786,9,7,0,2,2,351,5,Matches
428,Arthur Theate,DF,be Belgium,23,2000,2.8,220,10,70,123,31,0,220,0,0,,0,,143,566,327,5,4,0,1,2,147,4,Matches
429,Marcus Thuram,FW,fr France,26,1997,2.9,91,4,10,36,49,17,91,8,4,50.0,1,12.5,59,346,178,7,5,4,8,7,72,18,Matches
430,Youri Tielemans,MF,be Belgium,26,1997,1.6,127,3,17,71,39,1,127,0,0,,0,,74,284,180,3,2,0,1,0,96,1,Matches
