Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
173,Benjamin Henrichs,DF,de Germany,26,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
174,Theo Hernández,DF,fr France,26,1997,6.3,11,1.83,10,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
175,Morten Hjulmand,MF,dk Denmark,24,1999,2.7,8,2.93,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
176,Adam Hložek,MF,cz Czechia,21,2002,1.2,3,2.50,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
177,Tomáš Holeš,DF,cz Czechia,30,1993,3.0,5,1.67,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
178,Arbër Hoxha,"FW,MF",al Albania,25,1998,0.6,4,7.20,4,0,0,0,0,0,1,1.80,1,0,0,0,0,0,Matches
179,Robin Hranáč,DF,cz Czechia,24,2000,3.0,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
180,Elseid Hysaj,DF,al Albania,29,1994,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
181,Pierre Højbjerg,MF,dk Denmark,28,1995,3.9,10,2.56,9,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
182,Rasmus Højlund,FW,dk Denmark,20,2003,3.2,6,1.89,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
183,Ivan Ilić,MF,rs Serbia,22,2001,2.2,5,2.24,4,1,0,0,0,0,1,0.45,0,1,0,0,0,0,Matches
184,Josip Iličić,"FW,MF",si Slovenia,36,1988,0.3,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
185,Gonçalo Inácio,DF,pt Portugal,22,2001,1.3,4,3.05,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0,Matches
186,Luka Ivanušec,MF,hr Croatia,25,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
187,Erik Janža,DF,si Slovenia,30,1993,3.0,6,2.01,4,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
188,Jorginho,MF,it Italy,32,1991,2.4,7,2.93,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
189,Joselu,FW,es Spain,33,1990,1.0,1,1.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
190,Diogo Jota,"FW,MF",pt Portugal,27,1996,1.1,5,6.43,2,0,0,0,1,2,0,0.00,0,0,0,0,0,0,Matches
191,Luka Jović,"MF,FW",rs Serbia,26,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
