Rk,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
176,Adam Hložek,MF,cz Czechia,21,2002,1.2,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,1,0,Matches
177,Tomáš Holeš,DF,cz Czechia,30,1993,3.0,10,5,5,3,2,7,10,70.0,3,4,2,2,2,12,12,0,Matches
178,Arbër Hoxha,"FW,MF",al Albania,25,1998,0.6,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
179,Robin Hranáč,DF,cz Czechia,24,2000,3.0,2,1,1,1,0,2,2,100.0,0,3,1,2,0,2,12,1,Matches
180,Elseid Hysaj,DF,al Albania,29,1994,2.0,1,1,0,1,0,1,5,20.0,4,3,2,1,0,1,2,0,Matches
181,Pierre Højbjerg,MF,dk Denmark,28,1995,3.9,10,7,5,5,0,7,13,53.8,6,5,0,5,3,13,5,0,Matches
182,Rasmus Højlund,FW,dk Denmark,20,2003,3.2,3,1,0,1,2,1,4,25.0,3,0,0,0,1,4,1,0,Matches
183,Ivan Ilić,MF,rs Serbia,22,2001,2.2,6,4,4,1,1,3,3,100.0,0,4,3,1,0,6,3,1,Matches
184,Josip Iličić,"FW,MF",si Slovenia,36,1988,0.3,2,1,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0,Matches
185,Gonçalo Inácio,DF,pt Portugal,22,2001,1.3,2,2,1,1,0,2,5,40.0,3,6,0,6,1,3,5,0,Matches
186,Luka Ivanušec,MF,hr Croatia,25,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
187,Erik Janža,DF,si Slovenia,30,1993,3.0,4,4,3,1,0,1,5,20.0,4,1,1,0,2,6,8,0,Matches
188,Jorginho,MF,it Italy,32,1991,2.4,6,2,6,0,0,3,8,37.5,5,3,0,3,4,10,1,0,Matches
189,Joselu,FW,es Spain,33,1990,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,Matches
190,Diogo Jota,"FW,MF",pt Portugal,27,1996,1.1,3,2,0,2,1,0,0,,0,1,0,1,0,3,0,0,Matches
191,Luka Jović,"MF,FW",rs Serbia,26,1997,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
192,Josip Juranović,DF,hr Croatia,28,1995,1.0,3,3,1,2,0,2,3,66.7,1,1,1,0,1,4,1,0,Matches
193,David Jurásek,DF,cz Czechia,23,2000,1.8,3,2,2,1,0,2,5,40.0,3,1,1,0,1,4,2,0,Matches
194,Matěj Jurásek,"DF,MF",cz Czechia,20,2003,0.5,2,1,0,1,1,2,4,50.0,2,0,0,0,0,2,1,0,Matches
195,Ferdi Kadioglu,"DF,MF",tr Türkiye,24,1999,5.0,18,12,9,7,2,10,13,76.9,3,5,1,4,7,25,10,0,Matches
196,İrfan Kahveci,FW,tr Türkiye,28,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
197,Otar Kakabadze,"DF,MF",ge Georgia,28,1995,4.0,12,8,10,1,1,10,18,55.6,8,3,1,2,4,16,8,0,Matches
198,Harry Kane,FW,eng England,30,1993,6.7,4,3,2,2,0,1,3,33.3,2,2,2,0,1,5,0,0,Matches
